product_line_code,product_line_name,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,rank
AECCOL,RVT,0,1,2,4,6,10,15,21,29,44,856,1
AECCOL,ACD,0,1,3,6,9,13,19,25,34,52,727,2
AECCOL,CIV3D,0,1,2,3,6,10,15,23,35,55,1218,3
MECOLL,MAYA,0,1,2,3,6,10,15,25,36,69,553,1
MECOLL,3DSMAX,0,1,2,2,4,8,13,20,38,80,221,2
MECOLL,MOBPRO,0,0,1,1,1,2,3,4,7,11,102,3
PDCOLL,INVPROSA,0,2,4,7,11,16,22,29,39,56,1906,1
PDCOLL,AMECH_PP,0,1,2,4,7,11,15,20,27,40,610,2
PDCOLL,ACD,0,1,2,4,7,10,14,20,28,41,598,3
